NTASData [id=16593073893, subwayLine=BD, stationId=CHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.944200743034056, timeString=02.94, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073894, subwayLine=BD, stationId=CHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.348362972136224, timeString=06.35, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073895, subwayLine=BD, stationId=CHE1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=9.690599256965944, timeString=09.69, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073896, subwayLine=BD, stationId=PAP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=3.9133103405572762, timeString=03.91, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073897, subwayLine=BD, stationId=PAP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=7.317472569659444, timeString=07.32, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073898, subwayLine=BD, stationId=PAP1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=10.659708854489164, timeString=10.66, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073899, subwayLine=BD, stationId=DON1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=0.6836767801857586, timeString=00.68, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073900, subwayLine=BD, stationId=DON1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.851987120743035, timeString=04.85, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073901, subwayLine=BD, stationId=DON1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=8.256149349845202, timeString=08.26, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073902, subwayLine=BD, stationId=GWD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=1.813443343653251, timeString=01.81, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593073903, subwayLine=BD, stationId=GWD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=5.981753684210528, timeString=05.98, trainDestination=KEN1, createDate=Sun Sep 17 10:16:07 EDT 2017, systemMessageType=Normal]
