NTASData [id=16594708600, subwayLine=YUS, stationId=QPK1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708601, subwayLine=YUS, stationId=QPK1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.46453, timeString=02.46, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708602, subwayLine=YUS, stationId=QPK1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.3391366666666666, timeString=03.34, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708603, subwayLine=YUS, stationId=STP1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.1507733333333334, timeString=01.15, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708604, subwayLine=YUS, stationId=STP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708605, subwayLine=YUS, stationId=STP1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=4.48991, timeString=04.49, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708606, subwayLine=YUS, stationId=OSG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.90192, timeString=01.90, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708607, subwayLine=YUS, stationId=OSG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708608, subwayLine=YUS, stationId=OSG1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.241056666666665, timeString=05.24, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708609, subwayLine=YUS, stationId=STA1, trainId=112, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
