NTASData [id=16594872906, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=2.1257043555555555, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872907, subwayLine=YUS, stationId=LWW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.27796296296296297, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872908, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872909, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872910, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872911, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872912, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=2.9022296296296295, timeString=02.90, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872913, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872914, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872915, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=4.722434074074074, timeString=04.72, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872916, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872917, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872918, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872919, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872920, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=10.78062962962963, timeString=10.78, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872921, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872922, subwayLine=YUS, stationId=SPA1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=0.7456311111111111, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872923, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872924, subwayLine=YUS, stationId=SPA1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=11.781260740740741, timeString=11.78, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872925, subwayLine=YUS, stationId=SGU1, trainId=125, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872926, subwayLine=YUS, stationId=SGU1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=1.875237777777778, timeString=01.88, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872927, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=5.5427014814814815, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872928, subwayLine=YUS, stationId=MUS1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872929, subwayLine=YUS, stationId=MUS1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=3.0772344444444446, timeString=03.08, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872930, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=6.744698148148149, timeString=06.74, trainDestination=FIN1, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
