NTASData [id=16595006237, subwayLine=BD, stationId=PAP1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=2.9671315170278643, timeString=02.97, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006238, subwayLine=BD, stationId=PAP1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=7.831505386996906, timeString=07.83, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006239, subwayLine=BD, stationId=PAP1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=11.225900804953561, timeString=11.23, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006240, subwayLine=BD, stationId=DON1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=3.905808297213623, timeString=03.91, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006241, subwayLine=BD, stationId=DON1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=8.770182167182663, timeString=08.77, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006242, subwayLine=BD, stationId=DON1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=12.164577585139321, timeString=12.16, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006243, subwayLine=BD, stationId=GWD1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=0.8747665634674924, timeString=00.87, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006244, subwayLine=BD, stationId=GWD1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=5.035574860681114, timeString=05.04, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006245, subwayLine=BD, stationId=GWD1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=9.899948730650156, timeString=09.90, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006246, subwayLine=BD, stationId=COX1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=1.829013622291022, timeString=01.83, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006247, subwayLine=BD, stationId=COX1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=5.989821919504644, timeString=05.99, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006248, subwayLine=BD, stationId=COX1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=10.854195789473685, timeString=10.85, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006249, subwayLine=BD, stationId=WDB1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=3.264382291021672, timeString=03.26, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006250, subwayLine=BD, stationId=WDB1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=7.425190588235294, timeString=07.43, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006251, subwayLine=BD, stationId=WDB1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=12.289564458204335, timeString=12.29, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006252, subwayLine=BD, stationId=MST1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.0791618575851394, timeString=01.08, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006253, subwayLine=BD, stationId=MST1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=4.989216594427245, timeString=04.99, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006254, subwayLine=BD, stationId=MST1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=9.150024891640866, timeString=09.15, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
