NTASData [id=16594510697, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=7.878128888888888, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510698, subwayLine=YUS, stationId=DUP1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510699, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510700, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=7.323973333333333, timeString=07.32, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510701, subwayLine=YUS, stationId=SPA1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=1.0006311111111112, timeString=01.00, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510702, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510703, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=8.324604444444445, timeString=08.32, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510704, subwayLine=YUS, stationId=SGU1, trainId=110, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510705, subwayLine=YUS, stationId=SGU1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=2.130237777777778, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510706, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.5427014814814815, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510707, subwayLine=YUS, stationId=MUS1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
