NTASData [id=16595185620, subwayLine=YUS, stationId=UNI1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.6426911111111115, timeString=03.64, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185621, subwayLine=YUS, stationId=UNI1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=18.103840370370367, timeString=18.10, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185622, subwayLine=YUS, stationId=KNG1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.3057133333333333, timeString=01.31, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185623, subwayLine=YUS, stationId=KNG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.437582222222223, timeString=04.44, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185624, subwayLine=YUS, stationId=KNG1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=18.89873148148148, timeString=18.90, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185625, subwayLine=YUS, stationId=QUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.1313666666666666, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185626, subwayLine=YUS, stationId=QUN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.263235555555556, timeString=05.26, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185627, subwayLine=YUS, stationId=QUN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=19.72438481481481, timeString=19.72, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185628, subwayLine=YUS, stationId=DUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.8859000000000004, timeString=02.89, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185629, subwayLine=YUS, stationId=DUN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=6.017768888888888, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185630, subwayLine=YUS, stationId=DUN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=20.478918148148146, timeString=20.48, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
