NTASData [id=16593390387, subwayLine=BD, stationId=BAT2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=11.566916686068112, timeString=11.57, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390388, subwayLine=BD, stationId=CHR2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=0.7134018575851394, timeString=00.71, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390389, subwayLine=BD, stationId=CHR2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=4.368742291021672, timeString=04.37, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390390, subwayLine=BD, stationId=CHR2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=8.307744891640867, timeString=08.31, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390391, subwayLine=BD, stationId=OSS2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=0.36382928544891646, timeString=00.36, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390392, subwayLine=BD, stationId=OSS2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=2.0320443938080497, timeString=02.03, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390393, subwayLine=BD, stationId=OSS2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=5.687384827244582, timeString=05.69, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390394, subwayLine=BD, stationId=DUF2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=1.6600562823529414, timeString=01.66, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390395, subwayLine=BD, stationId=DUF2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=3.3282713907120742, timeString=03.33, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390396, subwayLine=BD, stationId=DUF2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=6.983611824148607, timeString=06.98, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390397, subwayLine=BD, stationId=LAN2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=2.4857777684210527, timeString=02.49, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390398, subwayLine=BD, stationId=LAN2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=4.153992876780186, timeString=04.15, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390399, subwayLine=BD, stationId=LAN2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=7.809333310216719, timeString=07.81, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390400, subwayLine=BD, stationId=DNW2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=3.869198325696595, timeString=03.87, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390401, subwayLine=BD, stationId=DNW2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=5.537413434055729, timeString=05.54, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390402, subwayLine=BD, stationId=DNW2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=9.19275386749226, timeString=09.19, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390403, subwayLine=BD, stationId=KEL2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=5.00505145263158, timeString=05.01, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593390404, subwayLine=BD, stationId=KEL2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=6.673266560990712, timeString=06.67, trainDestination=KIP2, createDate=Sun Sep 17 10:38:35 EDT 2017, systemMessageType=Normal]
