NTASData [id=16593681888, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.68364888888889, timeString=12.68, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681889, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=16.556044444444442, timeString=16.56, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681890, subwayLine=YUS, stationId=SGU2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.126126666666666, timeString=10.13, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681891, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.843171111111111, timeString=13.84, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681892, subwayLine=YUS, stationId=SGU2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=17.715566666666668, timeString=17.72, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681893, subwayLine=YUS, stationId=SPA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.293833333333334, timeString=11.29, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681894, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.010877777777779, timeString=15.01, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681895, subwayLine=YUS, stationId=SPA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=18.883273333333335, timeString=18.88, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681896, subwayLine=YUS, stationId=DUP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.291642222222222, timeString=12.29, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681897, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.008686666666666, timeString=16.01, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
