NTASData [id=16593863533, subwayLine=BD, stationId=SGL2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=4.619706873065017, timeString=04.62, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863534, subwayLine=BD, stationId=SGL2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=9.83012027739938, timeString=09.83, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863535, subwayLine=BD, stationId=BSP2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=3.0923320123839013, timeString=03.09, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863536, subwayLine=BD, stationId=BSP2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=5.425470092879257, timeString=05.43, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863537, subwayLine=BD, stationId=BSP2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=10.635883497213623, timeString=10.64, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863538, subwayLine=BD, stationId=BAT2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=4.0233652012383905, timeString=04.02, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863539, subwayLine=BD, stationId=BAT2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=6.3565032817337475, timeString=06.36, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863540, subwayLine=BD, stationId=BAT2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=11.566916686068112, timeString=11.57, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863541, subwayLine=BD, stationId=CHR2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=4.99176705882353, timeString=04.99, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863542, subwayLine=BD, stationId=CHR2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=7.324905139318886, timeString=07.32, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863543, subwayLine=BD, stationId=CHR2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=12.53531854365325, timeString=12.54, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863544, subwayLine=BD, stationId=OSS2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=0.6271085424148608, timeString=00.63, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863545, subwayLine=BD, stationId=OSS2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=6.3104095950464405, timeString=06.31, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863546, subwayLine=BD, stationId=OSS2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=8.643547675541797, timeString=08.64, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863547, subwayLine=BD, stationId=DUF2, trainId=212, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863548, subwayLine=BD, stationId=DUF2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=1.9233355393188858, timeString=01.92, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863549, subwayLine=BD, stationId=DUF2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=7.6066365919504655, timeString=07.61, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863550, subwayLine=BD, stationId=LAN2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=0.8257214860681116, timeString=00.83, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863551, subwayLine=BD, stationId=LAN2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=2.749057025386997, timeString=02.75, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863552, subwayLine=BD, stationId=LAN2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=8.432358078018577, timeString=08.43, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863553, subwayLine=BD, stationId=DNW2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=2.2091420433436535, timeString=02.21, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593863554, subwayLine=BD, stationId=DNW2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=4.132477582662539, timeString=04.13, trainDestination=KIP2, createDate=Sun Sep 17 11:14:10 EDT 2017, systemMessageType=Normal]
